UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.39.98.239 |  PasswordAccount  [11] [The Clock] 0:43:13
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.39.98.239 |  PasswordAccount  [11] [The Clock] 1:37:6
UserName[Acc] |13| UIDAccount |12957566 | IPAccount | 197.39.98.239 |  PasswordAccount  [13] [The Clock] 2:3:14
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 2:10:5
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 2:26:21
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 2:27:41
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.39.98.239 |  PasswordAccount  [11] [The Clock] 3:53:38
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.39.98.239 |  PasswordAccount  [11] [The Clock] 14:48:34
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.39.98.239 |  PasswordAccount  [11] [The Clock] 17:43:46
UserName[Acc] |13| UIDAccount |12957566 | IPAccount | 197.39.98.239 |  PasswordAccount  [13] [The Clock] 17:51:43
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 17:52:4
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.56.188.214 |  PasswordAccount  [15] [The Clock] 18:16:23
UserName[Acc] |16| UIDAccount |12957569 | IPAccount | 197.56.188.214 |  PasswordAccount  [16] [The Clock] 18:16:31
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 18:20:15
UserName[Acc] |14| UIDAccount |12957567 | IPAccount | 197.56.188.214 |  PasswordAccount  [14] [The Clock] 18:21:39
UserName[Acc] |14| UIDAccount |12957567 | IPAccount | 197.56.188.214 |  PasswordAccount  [14] [The Clock] 18:26:12
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.56.188.214 |  PasswordAccount  [15] [The Clock] 18:28:0
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.56.188.214 |  PasswordAccount  [15] [The Clock] 18:28:10
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 18:28:15
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 18:28:25
UserName[Acc] |16| UIDAccount |12957569 | IPAccount | 197.56.188.214 |  PasswordAccount  [16] [The Clock] 18:30:3
UserName[Acc] |16| UIDAccount |12957569 | IPAccount | 197.56.188.214 |  PasswordAccount  [16] [The Clock] 18:32:29
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 18:32:51
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.39.98.239 |  PasswordAccount  [11] [The Clock] 18:39:23
UserName[Acc] |13| UIDAccount |12957566 | IPAccount | 197.39.98.239 |  PasswordAccount  [13] [The Clock] 18:39:29
UserName[Acc] |17| UIDAccount |12957570 | IPAccount | 197.56.188.214 |  PasswordAccount  [17] [The Clock] 19:54:56
UserName[Acc] |18| UIDAccount |12957571 | IPAccount | 197.56.188.214 |  PasswordAccount  [18] [The Clock] 19:55:16
UserName[Acc] |18| UIDAccount |12957571 | IPAccount | 197.56.188.214 |  PasswordAccount  [18] [The Clock] 21:7:18
UserName[Acc] |18| UIDAccount |12957571 | IPAccount | 197.56.188.214 |  PasswordAccount  [18] [The Clock] 21:7:28
UserName[Acc] |19| UIDAccount |12957572 | IPAccount | 197.56.188.214 |  PasswordAccount  [19] [The Clock] 21:15:31
UserName[Acc] |13| UIDAccount |12957566 | IPAccount | 197.39.98.239 |  PasswordAccount  [13] [The Clock] 21:52:24
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.56.188.214 |  PasswordAccount  [11] [The Clock] 22:27:13
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.56.188.214 |  PasswordAccount  [11] [The Clock] 22:27:23
UserName[Acc] |15| UIDAccount |12957568 | IPAccount | 197.39.98.239 |  PasswordAccount  [15] [The Clock] 22:47:11
UserName[Acc] |11| UIDAccount |12957563 | IPAccount | 197.56.188.214 |  PasswordAccount  [11] [The Clock] 22:47:30
UserName[Acc] |13| UIDAccount |12957566 | IPAccount | 197.39.98.239 |  PasswordAccount  [13] [The Clock] 23:2:19
UserName[Acc] |16| UIDAccount |12957569 | IPAccount | 197.39.98.239 |  PasswordAccount  [16] [The Clock] 23:33:54
